嗚呼	ああ	Ah!, Oh!, Alas!		[sound:SPXJ00001.mp3]
兎に角	とにかく	anyhow, at any rate, anyway, somehow or other, generally speaking, in any case	【副】  (现多用假名)无论如何; 总之; 姑且	[sound:SPXJ53386.mp3]
殿様	とのさま	feudal lord	【名】  (对贵族, 主君的敬称)老爷; 大人; (有钱而不谙世故的)老爷	[sound:SPXJ53411.mp3]
幕	とばり	curtain, bunting, act (in play)	【名】  帷幕; 帐幕; (戏剧)幕; 场面, 时候(同ばあい); 完结; 结束; 场合	[sound:SPXJ71150.mp3]
帳	とばり	curtain	【造語】  帐簿; 帷帐	[sound:SPXJ53441.mp3]
扉	とびら	door, opening	【名】  门; 门扇; 扉页; (杂志正文前的)第一页(印有题目, 前言等)	[sound:SPXJ53521.mp3]
徒歩	とほ	walking, going on foot	【名】  【自サ】  徒步; 步行	[sound:SPXJ53549.mp3]
乏しい	とぼしい	meagre, scarce, limited, destitute, hard up, scanty, poor	【形】  缺乏的; 不足的; 贫乏的; 贫困的	[sound:SPXJ53560.mp3]
富	とみ	wealth, fortune	【名】  财富; 财产; 资源; 富源; 彩票(同とみくじ)	[sound:SPXJ53600.mp3]
富む	とむ	to be rich, to become rich	【自五】  富; 富裕; 有钱; 富有; 丰富	[sound:SPXJ53613.mp3]
兎も角	ともかく	anyhow, anyway, somehow or other, generally speaking, in any case	【副】  (现多用假名)姑且不论; 暂且不谈; 无论如何; 不管怎样	
共稼ぎ	ともかせぎ	working together, (husband and wife) earning a living together	【名】  【自サ】  夫妇都工作; 双职工	[sound:SPXJ53660.mp3]
灯	ともしび	light	【名】  灯火(同ともしび)	[sound:SPXJ00435.mp3]
伴う	ともなう	to accompany, to bring with, to be accompanied by, to be involved in	【自他五】  随同; 伴随; 跟随; 跟着	[sound:SPXJ53687.mp3]
共働き	ともばたらき	dual income	【名】  (夫妇)共同赚钱	[sound:SPXJ53691.mp3]
捕らえる	とらえる	to seize, to grasp, to capture, to arrest	【他下一】  逮捕; 逮住; 紧紧抓住; 捕捉; 掌握; 陷入...状态	[sound:SPXJ53770.mp3]
取りあえず	とりあえず	at once, first of all, for the time being		
取り扱い	とりあつかい	treatment, service, handling, management	【名】  ("とりあつかう"的名词形)对待; 待遇; (物品的)使用, 处理; (对事务, 工作的)处理, 办理	[sound:SPXJ53855.mp3]
取り扱う	とりあつかう	to treat, to handle, to deal in	【他五】  对待; 待遇; (用手)操纵, 使用; 办理; 处理	[sound:SPXJ53861.mp3]
鳥居	とりい	torii (Shinto shrine archway)	【名】  (神社入口的)牌坊	[sound:SPXJ53870.mp3]
取り替え	とりかえ	swap, exchange	【名】  ("とりかえる"的名词形)调换; 更换	[sound:SPXJ53903.mp3]
取り組む	とりくむ	to tackle, to wrestle with, to engage in a bout, to come to grips with	【自五】  (相扑)(为了摔倒对方)互相扭住; 与...为对手; 同...比赛; 开出(汇票); 签订(合同)	[sound:SPXJ53934.mp3]
取り締まり	とりしまり	control, management, supervision	【名】  ("とりしまる"的名词形)管理; 控制	
取り締まる	とりしまる	to manage, to control, to supervise	【他五】  管理; 监督; 约束	[sound:SPXJ53984.mp3]
取り調べる	とりしらべる	to investigate, to examine	【他下一】  调查; 侦查; 审讯	[sound:SPXJ53987.mp3]
取り立てる	とりたてる	to collect, to extort, to appoint, to promote	【他下一】  催缴; 催收; 索取; 提拔; 提升	[sound:SPXJ54010.mp3]
取り次ぐ	とりつぐ	to act as an agent for, to announce (someone), to convey (a message)	【他五】  传达; 转达; (在门口)传达; 通报; 经销; 代销; 转交	[sound:SPXJ54028.mp3]
取り除く	とりのぞく	to remove, to take away, to set apart	【他五】  除掉; 去掉; 拆掉	[sound:SPXJ54083.mp3]
取り引き	とりひき	transactions, dealings, business		[sound:SPXJ54103.mp3]
取り巻く	とりまく	to surround, to circle, to enclose	【他五】  围绕; 包围; 围着有钱有势者跑前跑后; 逢迎	[sound:SPXJ54132.mp3]
取り混ぜる	とりまぜる	to mix, to put together	【他下一】  混在一块	[sound:SPXJ54134.mp3]
取り戻す	とりもどす	to take back, to regain	【他五】  取回; 收回; 挽回; 恢复	[sound:SPXJ54155.mp3]
取り寄せる	とりよせる	to order, to send away for	【他五】  (从远方)寄来, 要来; 订货; 订购	[sound:SPXJ54175.mp3]
取り分	とりわけ	especially, above all	【名】  应得的份额(同わけまえ; とりまえ)	[sound:SPXJ54123.mp3]
副	とりわけ	especially, above all		[sound:SPXJ65431.mp3]
蕩ける	とろける	to be enchanted with	【自下一】  溶化; 融解; 神魂飘荡	[sound:SPXJ54292.mp3]
とんだ	とんだ	terrible, awful, serious, preposterous, absolutely not	【連体】  想不到的(灾难); 意外的(事故, 遭遇); 不可挽回的	[sound:SPXJ54405.mp3]
胴	どう	trunk, body, frame	【名】  (除去头部和四肢的)躯干; (物体的)中间部分; (剑术)护胸	[sound:SPXJ51232.mp3]
働	どう	work, labor		
同	どう	the same, the said, ibid.	【造語】  相同; 共同; 该; 那个	[sound:SPXJ51229.mp3]
同意	どうい	agreement, consent, same meaning, same opinion, approval	【名】  【自サ】  同义; 同意; 赞成	[sound:SPXJ51254.mp3]
動員	どういん	mobilization	【名】  【他サ】  动员; 调动; 发动	[sound:SPXJ51270.mp3]
同感	どうかん	agreement, same opinion, same feeling, sympathy, concurrence	【名】  【自サ】  同感; 赞同; 同一见解	[sound:SPXJ51359.mp3]
動機	どうき	motive, incentive	【名】  动机; 直接原因(同きっかけ)	[sound:SPXJ51381.mp3]
同級	どうきゅう	the same grade, same class	【名】  同等级; 等级相同; 同班; 同年级	[sound:SPXJ51402.mp3]
同居	どうきょ	living together	【名】  【自サ】  同居; 同住; 住在一起	[sound:SPXJ51408.mp3]
動向	どうこう	trend, tendency, movement, attitude	【名】  (社会, 人心等的)动向(同なりゆき)	[sound:SPXJ51518.mp3]
同士	どうし	fellow, companion, comrade	【名】  (意见, 目的, 理想, 爱好等相同的人)志同道合的人; 同好	[sound:SPXJ51609.mp3]
同志	どうし	same mind, comrade, kindred soul	【名】  (意见, 目的, 理想, 爱好等相同的人)志同道合的人; 同好	[sound:SPXJ51608.mp3]
如何して	どうして	why?, for what reason, how, in what way, for what purpose, what for		
如何しても	どうしても	by all means, at any cost, no matter what, after all, in the long run, cravingly, at any rate, surely		
同情	どうじょう	sympathy, compassion, sympathize, pity, feel for	【名】  【自サ】  同情	[sound:SPXJ51711.mp3]
道場	どうじょう	dojo, hall used for martial arts training, mandala	【名】  修行的地方; 道场; 教授武艺的场所; 练武场	[sound:SPXJ51709.mp3]
何卒	どうぞ	please, kindly, by all means	【副】  请(同どうぞ); 设法; 想办法	
どうぞ宜しく	どうぞよろしく	pleased to meet you		
同調	どうちょう	sympathy, agree with, alignment, tuning	【名】  【自他サ】  (收音机, 电视机等的)调音; 同一步调; 赞同	[sound:SPXJ51898.mp3]
動的	どうてき	dynamic, kinetic	【形動】  动的; 活动的; 变化的; 生动的; 活泼的	[sound:SPXJ51914.mp3]
同等	どうとう	equality, equal, same rights, same rank	【形動】  【名】  同等(级); 同资格	[sound:SPXJ51942.mp3]
堂々	どうどう	magnificent, grand, impressive		[sound:SPXJ51949.mp3]
どうにか	どうにか	in some way or other, one way or another	【副】  想点法子; 总算; 好歹	[sound:SPXJ51983.mp3]
導入	どうにゅう	introduction, bringing in, leading in	【名】  【他サ】  导入; 引进; 引入; (为了解决悬案)引用(新的材料, 论据)	[sound:SPXJ51988.mp3]
同封	どうふう	enclosure (e.g. in a letter)	【名】  【他サ】  附在信内; 和信一起	[sound:SPXJ52089.mp3]
同盟	どうめい	alliance, union, league	【名】  【自サ】  同盟; 结盟	[sound:SPXJ52174.mp3]
どうやら	どうやら	it seems like, somehow or other	【副】  好歹; 凑和; 好容易才...(同かろうじて); 仿佛; 多半; 大概(同なんだか)	[sound:SPXJ52207.mp3]
動揺	どうよう	disturbance, unrest, shaking, trembling, pitching, rolling, oscillation, agitation, excitement, commotion	【名】  【自他サ】  摇动; 摇摆; (心神)动摇; 不平静	[sound:SPXJ52223.mp3]
動力	どうりょく	power, motive power, dynamic force	【名】  动力; 原动力	[sound:SPXJ52289.mp3]
独裁	どくさい	dictatorship, despotism	【名】  【自サ】  独断; 独行; 独裁; 专政	[sound:SPXJ52555.mp3]
読者	どくしゃ	reader	【名】  读者	[sound:SPXJ52582.mp3]
独自	どくじ	original, peculiar, characteristic	【形動】  独自; 个人	[sound:SPXJ52568.mp3]
独占	どくせん	monopoly	【名】  【他サ】  独占; 垄断; 专营	[sound:SPXJ52645.mp3]
独創	どくそう	originality	【名】  【他サ】  独创	[sound:SPXJ52655.mp3]
何処	どこ	where, what place	【代】  何处; 那里	[sound:SPXJ03614.mp3]
何処か	どこか	somewhere, anywhere, in some respects	【連語】  (不肯定的)某处; 什么地方	[sound:SPXJ52856.mp3]
土産	どさん	product of the land	【名】  (出门带回的)小礼物; (赠给人的)礼品	[sound:SPXJ73350.mp3]
土台	どだい	foundation, base, basis	【名】  底座; 基础	[sound:SPXJ53111.mp3]
何方	どちら	which, who	【代】  (不定称, 表示方向, 地点, 事物, 人)哪边; 哪里; 哪; 哪个; 哪个方面; 哪一位	[sound:SPXJ53237.mp3]
土手	どて	embankment, bank	【名】  (防风, 浪等的)堤; (用稻草葺顶的)土板墙; (作生鱼片的)大鱼的脊背肉块; (老人掉牙后的)牙龈, 牙床	[sound:SPXJ53305.mp3]
何方	どなた	who?	【代】  (不定称, 表示方向, 地点, 事物, 人)哪边; 哪里; 哪; 哪个; 哪个方面; 哪一位	[sound:SPXJ53237.mp3]
怒鳴る	どなる	to shout, to yell	【自五】  大声喊叫(吵嚷); 大声申斥(斥责)	[sound:SPXJ53385.mp3]
何の	どの	which, what	【感】  没什么	[sound:SPXJ55824.mp3]
土俵	どひょう	arena	【名】  土袋子; (相扑)比赛场; 摔跤场	[sound:SPXJ53514.mp3]
土木	どぼく	public works	【名】  土木工程	[sound:SPXJ53551.mp3]
何れ	どれ	well, now, let me see, which (of three or more)	【代】  (事物代名词的不定称)哪个; 哪一个  【感】  (表示想要做什么时的发声)哎; 啊	[sound:SPXJ03626.mp3]
何々	どれどれ	which (emphatic)		[sound:SPXJ55257.mp3]
度忘れ	どわすれ	lapse of memory, forget for a moment	【名】  【自サ】  一时想不起来; 突然忘掉	
鈍感	どんかん	thickheadedness, stolidity	【名】  【形動】  钝感; 感觉迟钝	[sound:SPXJ54364.mp3]
内閣	ないかく	cabinet, (government) ministry	【名】  内阁; 政府	[sound:SPXJ54485.mp3]
乃至	ないし	from...to, between...and, or	【接】  至; 乃至(同より...まで); 或; 或者(同または; あるいは)	[sound:SPXJ54513.mp3]
内臓	ないぞう	internal organs, intestines, viscera	【名】  内脏	[sound:SPXJ54551.mp3]
内部	ないぶ	interior, inside, internal	【名】  内部; 里面; 内幕; 内情	[sound:SPXJ54577.mp3]
内乱	ないらん	civil war, insurrection, rebellion, domestic conflict	【名】  内乱; 叛乱	[sound:SPXJ54605.mp3]
内陸	ないりく	inland	【名】  内地; 大陆	[sound:SPXJ54607.mp3]
苗	なえ	rice seedling	【名】  苗; 秧	[sound:SPXJ54616.mp3]
尚	なお	furthermore, still, yet, more, still more, greater, further, less	【副】  犹; 尚; 仍然; 更; 还; 再  【接】  尚且; 而且	[sound:SPXJ54622.mp3]
尚更	なおさら	all the more, still less	【副】  更加; 越发(同ますます)	
中程	なかほど	middle, midway	【名】  (场所, 距离的)中间; (程度)中等; (时间, 事物进行的)途中	
流し	ながし	sink	【名】  (ながす的名词形)流; 冲; 澡堂内冲洗身体处; 流放(罪人); (澡堂)搓背; (厨房或井旁的)水池子	[sound:SPXJ54689.mp3]
長々	ながなが	long, drawn-out, very long		[sound:SPXJ54751.mp3]
殴る	なぐる	to strike, to hit	【他五】  殴打; 揍	[sound:SPXJ54957.mp3]
嘆く	なげく	to sigh, to lament, to grieve	【自五】  叹息; 叹气; 悲叹; 哀叹	[sound:SPXJ54975.mp3]
投げ出す	なげだす	to throw down, to abandon, to sacrifice, to throw out	【他五】  抛出; 扔下; 抛弃; 放弃; 豁出; 拿出	[sound:SPXJ54987.mp3]
和やか	なごやか	mild, calm, gentle, quiet, harmonious	【形動】  平静; 安详; 和谐	[sound:SPXJ55007.mp3]
名残	なごり	remains, traces, memory	【名】  惜别; 依恋; 临别纪念; 遗痕; 遗迹	[sound:SPXJ55008.mp3]
情け	なさけ	sympathy, compassion	【名】  仁慈; 慈悲; 人情; 情义; 爱情; 恋情; 色情	[sound:SPXJ55012.mp3]
情け深い	なさけぶかい	tender-hearted, compassionate	【形】  仁慈的; 热心肠的; 富于同情心的	[sound:SPXJ55017.mp3]
為さる	なさる	to do	【他五】  ("なす", "する"的敬语)为; 做	
詰る	なじる	to rebuke, to scold, to tell off	【他五】  责问; 责备	[sound:SPXJ55041.mp3]
何故	なぜ	why, how	【副】  何故; 为何	[sound:SPXJ55275.mp3]
何故なら	なぜなら	because	【接】  因为; 原因是(同なぜかというと)	
名高い	なだかい	famous, celebrated, well-known	【形】  有名的; 著名的	[sound:SPXJ55077.mp3]
雪崩	なだれ	avalanche	【名】  雪崩; 蜂拥	[sound:SPXJ55086.mp3]
懐く	なつく	to become emotionally attached	【自五】  亲近; 接近  【他下一】  使人喜欢接近	[sound:SPXJ55112.mp3]
名付ける	なづける	to name (someone)	【他下一】  起名; 命名	
何気ない	なにげない	casual, unconcerned		[sound:SPXJ55245.mp3]
何しろ	なにしろ	at any rate, anyhow, anyway, in any case	【副】  不论怎么说; 不管怎样; 因为; 由于	[sound:SPXJ55254.mp3]
何卒	なにとぞ	please	【副】  请(同どうぞ); 设法; 想办法	
何も	なにも	nothing	【連語】  【副】  什么也...; 全都(同全く); 并(不)...; (不)必	
何より	なにより	most, best	【連語】  【副】  比什么(都好); 最好	[sound:SPXJ55278.mp3]
七日	なぬか	seven days, the seventh day (of the month)	【名】  ("なぬか"的转变)七号; 七日; 七天; 头七(人死后的第七天)	[sound:SPXJ55286.mp3]
名札	なふだ	name plate, name tag	【名】  (挂在门口的)姓名牌; (挂在胸前, 放在座位上的)姓名卡	[sound:SPXJ55307.mp3]
生臭い	なまぐさい	smelling of fish or blood, fish or meat	【形】  腥的; 腥臊的; 血腥的; (出家人)不守清规的	[sound:SPXJ55363.mp3]
生温い	なまぬるい	lukewarm, halfhearted	【形】  微温的; 有点热气的; 不够彻底的; 马马虎虎的	
生身	なまみ	living flesh, flesh and blood, the quick	【名】  肉身; 肉体; 活人(同いきみ); 生鱼; 生肉	[sound:SPXJ55443.mp3]
鉛	なまり	lead (the metal)	【名】  铅	[sound:SPXJ55462.mp3]
鈍る	なまる	to become less capable, to grow dull, to become blunt, to weaken	【自五】  变钝; 不快; 变迟钝; 变弱	[sound:SPXJ55465.mp3]
並み	なみ	average, medium, common, ordinary	【名】  普通; 平常	
滑らか	なめらか	smoothness, glassiness	【形動】  光滑; 滑溜; 流利; 通畅	[sound:SPXJ55536.mp3]
嘗める	なめる	to lick, to taste, to experience, to make fun of, to make light of, to put down, to treat with contempt	【他下一】  舔; 尝(味); 尝受; 经历	[sound:SPXJ55537.mp3]
悩ましい	なやましい	seductive, melancholy, languid	【形】  难过的; 难受的; 恼人的; 迷人的	[sound:SPXJ55540.mp3]
悩ます	なやます	to afflict, to torment, to harass, to molest	【他五】  使苦恼; 困扰	[sound:SPXJ55541.mp3]
悩み	なやみ	trouble(s), worry, distress, anguish, agony, problem	【名】  烦恼; 苦恼; 病; 患病	[sound:SPXJ55542.mp3]
平均	ならし	equilibrium, balance, average, mean	【名】  【自他サ】  平均; 平均值; 平衡; 均衡	[sound:SPXJ67877.mp3]
慣らす	ならす	to accustom	【他五】  使习惯; 使惯于	[sound:SPXJ55563.mp3]
馴らす	ならす	to domesticate, to tame	【他五】  驯养; 调驯	
並びに	ならびに	and	【接】  和; 及; 以及	
成り立つ	なりたつ	to conclude, to consist of, to be practical (logical feasible viable), to hold true	【自五】  成立; 谈妥(同できあがる); 构成; 组成; 划得来; 有利可图; 能维持; 站得住	[sound:SPXJ55606.mp3]
